Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Remington Super Slam Hunting: North America,Wii,2010,Sports,Mastiff,0.17,0,0,0.01,0.18,68,26,7,162
Reel Fishing II,PS,2000,Sports,Victor Interactive,0.1,0.07,0,0.01,0.18,68,26,7,162
Squeeballs Party,Wii,2009,Puzzle,Performance Designed Products,0.17,0,0,0.01,0.18,59,16,7,162
Ty the Tasmanian Tiger,X,2002,Platform,Electronic Arts,0.14,0.04,0,0.01,0.18,68,13,8.5,11
Imagine: Babyz Fashion,DS,2009,Simulation,Ubisoft,0.17,0,0,0.01,0.18,68,26,7,162
Dead or Alive,SAT,1997,Fighting,Tecmo Koei,0,0,0.18,0,0.18,68,26,7,162
Heavy Fire: Afghanistan,PS3,2011,Shooter,Mastiff,0.17,0,0,0.02,0.18,39,5,3.3,16
Driving Emotion Type-S,PS2,2000,Racing,Electronic Arts,0.04,0.03,0.11,0.01,0.18,55,18,7,162
Siren,PS2,2003,Adventure,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,72,48,7.6,42
Happy Cooking,DS,2006,Simulation,Ubisoft,0.17,0,0,0.01,0.18,68,26,7,162
NARC,X,2005,Shooter,Midway Games,0.14,0.04,0,0.01,0.18,51,27,2.8,6
Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0,0.01,0.18,58,6,8,29
NASCAR Unleashed,Wii,2011,Racing,Activision,0.17,0,0,0.01,0.18,68,26,7,162
Remember Me,X360,2013,Action,Capcom,0.11,0.06,0,0.02,0.18,70,42,7.5,268
Super Robot Taisen J,GBA,2005,Strategy,Banpresto,0,0,0.18,0,0.18,68,26,7,162
Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.06,0,0.02,0.18,68,26,7,162
Cars: Race-O-Rama,PS3,2009,Racing,THQ,0.14,0.03,0,0.02,0.18,61,5,7,162
Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,Astragon,0.06,0.11,0,0.02,0.18,68,26,7,162
Nep League DS,DS,2007,Sports,Jaleco,0,0,0.18,0,0.18,68,26,7,162
Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18,68,26,7,162
Jewel Master: Cradle of Athena,DS,2010,Puzzle,Storm City Games,0.17,0,0,0.01,0.18,68,26,7,162
Casper: Friends Around the World,PS,2000,Action,TDK Core,0.1,0.07,0,0.01,0.18,68,26,7,162
Jurassic Park III: Island Attack,GBA,2001,Adventure,Konami Digital Entertainment,0.13,0.05,0,0,0.18,57,6,7,162
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,0.06,0.04,0.08,0.01,0.18,68,26,7,162
Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,68,26,7,162
Star Trek: Legacy,X360,2006,Simulation,Ubisoft,0.14,0.02,0,0.01,0.18,64,41,5.5,42
Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.01,0.05,0.01,0.18,82,32,7.5,35
GameBoy Wars,G,1991,Strategy,Nintendo,0,0,0.18,0,0.18,68,26,7,162
Amplitude,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,86,35,8.8,26
Gauntlet: Seven Sorrows,X,2005,Role-Playing,Midway Games,0.14,0.04,0,0.01,0.18,61,36,7.8,4
AirForce Delta Storm,X,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01,0.18,61,21,7.1,7
Monopoly Party,X,2002,Misc,Infogrames,0.14,0.04,0,0.01,0.18,68,26,7,162
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.11,0.04,0,0.03,0.18,59,27,6.1,71
Fear Effect 2: Retro Helix,PS,2001,Action,Eidos Interactive,0.1,0.07,0,0.01,0.18,84,15,8.9,17
Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.14,0,0.03,0.18,83,36,7.5,726
Mahjong: Journey Quest for Tikal,DS,2008,Puzzle,Rondomedia,0.15,0.02,0,0.01,0.18,68,26,7,162
Chaotic: Shadow Warriors,DS,2009,Action,Activision,0.17,0,0,0.01,0.18,68,26,7,162
Ninja Gaiden 3,WiiU,2012,Action,Nintendo,0.14,0.03,0,0.02,0.18,68,26,7,162
CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0,0.02,0.18,39,5,5.6,13
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,68,26,7,162
Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,Namco Bandai Games,0,0,0.18,0,0.18,68,26,7,162
Klonoa: Door to Phantomile,PS,1997,Platform,Sony Computer Entertainment,0,0,0.17,0.01,0.18,68,26,7,162
Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,Take-Two Interactive,0.17,0,0,0.01,0.18,68,26,7,162
Vietcong: Purple Haze,PS2,2004,Shooter,Gathering of Developers,0.09,0.07,0,0.02,0.18,48,11,4.3,6
LEGO Marvels Avengers,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.11,0,0.04,0.18,68,26,6.6,15
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0,0,0.18,75,7,7,162
Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,DTP Entertainment,0,0,0,0.18,0.18,68,26,7,162
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega,0,0,0.18,0,0.18,68,26,7,162
Syndicate,X360,2012,Shooter,Electronic Arts,0.1,0.06,0,0.02,0.18,74,65,7.1,174
X-Men Origins: Wolverine,PS2,2009,Action,Activision,0.13,0,0,0.05,0.18,68,26,6.8,16
Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0,0.02,0.18,54,13,4.7,13
Zumba Fitness Rush,X360,2012,Sports,505 Games,0,0.16,0,0.02,0.18,73,7,6.2,5
Call of Juarez,X360,2007,Shooter,Ubisoft,0.14,0.02,0,0.01,0.18,71,37,6.9,46
TalkMan (Japan),PSP,2005,Misc,Sony Computer Entertainment,0,0,0.18,0,0.18,68,26,7,162
MotoGP,Wii,2009,Racing,Capcom,0.05,0.11,0,0.02,0.18,44,10,5.4,11
Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.14,0.04,0,0,0.18,75,27,8.5,20
Mega Man Soccer,SNES,1993,Sports,Capcom,0.04,0.01,0.13,0,0.18,68,26,7,162
Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.16,0.01,0,0.01,0.18,72,37,8.7,33
Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.02,0.18,38,34,5.6,37
LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.07,0,0.03,0.18,64,19,6.8,21
Brunswick Pro Bowling,PS3,2010,Sports,505 Games,0.1,0.05,0,0.02,0.18,47,6,7,162
FIFA Soccer 07,GC,2006,Sports,Electronic Arts,0.14,0.04,0,0,0.18,68,26,7,162
My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,Black Bean Games,0.13,0.03,0,0.01,0.18,68,26,7,162
Doctor Who: Return to Earth,Wii,2010,Adventure,Asylum Entertainment,0,0.16,0,0.02,0.18,68,26,7,162
Rabbids Party Collection,Wii,2010,Misc,Ubisoft,0,0.16,0,0.02,0.18,68,26,7,162
The Last Airbender,DS,2010,Action,THQ,0.13,0.04,0,0.01,0.18,69,6,7,4
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,39,10,4.4,34
Pok\xc3\xa9mon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.13,0.05,0,0,0.18,68,26,7,162
Backbreaker,X360,2009,Sports,NaturalMotion,0.17,0,0,0.01,0.18,54,29,7.6,68
Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,Capcom,0,0,0.18,0,0.18,68,26,7,162
Shrek SuperSlam,DS,2005,Action,Activision,0.17,0,0,0.01,0.18,68,26,7,162
Super Robot Taisen UX,3DS,2013,Role-Playing,Namco Bandai Games,0,0,0.18,0,0.18,68,26,7,162
Six Flags Fun Park,DS,2008,Misc,Brash Entertainment,0.17,0,0,0.01,0.18,34,4,7,4
Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.18,48,19,6.8,56
Test Drive Off-Road Wide Open,X,2001,Racing,Infogrames,0.15,0.03,0,0.01,0.18,64,21,8.3,9
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.05,0.12,0,0.01,0.18,86,39,6.2,421
Jeopardy!,DS,2010,Misc,THQ,0.17,0,0,0.01,0.18,68,26,7,162
Pro Yaky? Spirits 2011,PS3,2011,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,68,26,7,162
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0,0,0.18,0,0.18,68,26,7,162
WWE All Stars,PSP,2011,Fighting,THQ,0.12,0.04,0,0.03,0.18,70,4,6.6,5
Bad Boys: Miami Takedown,X,2004,Shooter,Empire Interactive,0.14,0.04,0,0.01,0.18,35,20,5.9,9
Jampack Vol. 1,PS,1996,Misc,Sony Computer Entertainment,0.1,0.07,0,0.01,0.18,68,26,7,162
Daigasso! Band Brothers P,3DS,2013,Misc,Nintendo,0,0,0.18,0,0.18,68,26,7,162
Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom,0.09,0.07,0,0.02,0.18,69,27,7.1,18
Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,Genki,0.09,0.07,0,0.02,0.18,59,13,8.6,15
Moon,PS,1997,Adventure,ASCII Entertainment,0,0,0.17,0.01,0.18,68,26,7,162
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Action,Disney Interactive Studios,0.15,0.01,0,0.01,0.18,65,20,7.5,4
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03,0.18,75,35,6.8,62
Cabelas Big Game Hunter 2005 Adventures,X,2004,Sports,Activision,0.13,0.04,0,0.01,0.18,65,5,8.3,6
Might & Magic: Clash of Heroes,DS,2009,Role-Playing,Ubisoft,0.15,0.02,0,0.01,0.18,68,26,7,162
Transformers: Prime,3DS,2012,Action,Activision,0.14,0.03,0,0.02,0.18,68,26,7,162
Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games,0.08,0.01,0.07,0.01,0.18,84,41,7.8,38
Sesame Street: Elmos Letter Adventure,N64,1999,Misc,NewKidCo,0.14,0.04,0,0,0.18,68,26,7,162
Re-Volt,N64,1999,Racing,Acclaim Entertainment,0.14,0.04,0,0,0.18,68,26,7,162
Company of Heroes: Anthology,PC,2009,Strategy,THQ,0,0.15,0,0.03,0.18,68,26,7,162
Gokujou Parodius,SNES,1994,Shooter,Konami Digital Entertainment,0,0,0.18,0,0.18,68,26,7,162
The Chronicles of Narnia: Prince Caspian,X360,2008,Action,Disney Interactive Studios,0.16,0.01,0,0.01,0.18,56,24,7.5,13
Gauntlet: Dark Legacy,GC,2002,Action,Midway Games,0.14,0.04,0,0,0.18,60,20,9.2,17
A.C.E.: Another Centurys Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0,0.18,68,26,7,162
Shadow The Hedgehog,X,2005,Platform,Sega,0.13,0.04,0,0.01,0.18,49,24,5.4,37
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0,0.01,0.18,91,36,7.1,2328
Mirrors Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.1,0.06,0,0.02,0.18,72,46,4.4,271
Batman: Vengeance,GBA,2001,Adventure,Ubisoft,0.13,0.05,0,0,0.18,68,8,7,162
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000,Sports,Sega,0,0,0.18,0,0.18,68,26,7,162
Grand Slam Tennis 2,X360,2012,Sports,Electronic Arts,0.1,0.06,0,0.02,0.18,71,45,5.1,14
The Adventures of Cookie & Cream,PS2,2000,Puzzle,Empire Interactive,0.09,0.07,0,0.02,0.18,68,26,7,162
Pure Futbol,X360,2010,Sports,Ubisoft,0.08,0.08,0,0.02,0.18,38,20,7.9,29
World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0,0,0.01,0.18,57,4,8.1,10
Van Helsing,X,2007,Action,Activision,0.13,0.04,0,0.01,0.18,63,32,7.6,8
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher,0.1,0.06,0,0.02,0.18,51,5,5.3,4
Spider-Man: Friend or Foe,PSP,2007,Action,Activision,0.16,0,0,0.01,0.18,58,7,4.4,9
Rio,Wii,2011,Misc,THQ,0.13,0.04,0,0.01,0.18,68,26,7,162
Sing4: The Hits Edition,Wii,2011,Misc,Crave Entertainment,0.17,0,0,0.01,0.18,68,26,7,162
Gun,GC,2005,Shooter,Activision,0.14,0.04,0,0,0.18,77,27,8.6,8
SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0,0.01,0.18,52,35,5.7,24
F1 Challenge,SAT,1994,Racing,Sega,0,0,0.18,0,0.18,68,26,7,162
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.06,0.07,0.02,0.03,0.18,74,35,7.6,74
Metal Gear Ac!d 2,PSP,2005,Strategy,Konami Digital Entertainment,0.11,0,0.05,0.01,0.18,68,26,7,162
Shadow Madness,PS,1999,Action,Crave Entertainment,0.1,0.07,0,0.01,0.18,68,26,7,162
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0,0.02,0.18,45,40,3.5,1159
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0.18,0,0.18,68,26,7,162
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0,0.14,0,0.04,0.18,83,16,7.7,102
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0,0,0.18,75,5,7.5,4
Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.01,0.01,0.18,68,26,8,10
Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0,0.03,0.18,81,37,7.8,1369
The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0,0,0.18,68,26,7,162
de Blob 2,Wii,2011,Platform,THQ,0.11,0.06,0,0.02,0.18,79,20,8.1,26
American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18,68,26,8.1,9
Silent Hill 4: The Room,X,2004,Action,Konami Digital Entertainment,0.14,0.04,0,0.01,0.18,76,43,8.3,26
Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.09,0.07,0,0.02,0.18,67,19,6.8,11
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,68,26,7,162
Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0,0.03,0.18,70,38,6,548
FIFA Soccer 2002,GC,2001,Sports,Electronic Arts,0.14,0.04,0,0,0.18,81,13,8,9
Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18,68,26,7,162
Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,0.1,0.07,0,0.01,0.18,72,5,7,162
Lips: Party Classics,X360,2010,Misc,Microsoft Game Studios,0.05,0.11,0,0.02,0.18,69,10,7,162
Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0,0,0.18,0,0.18,68,26,7,162
Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ,0.14,0.03,0,0.01,0.18,68,26,7,162
Fireblade,PS2,2002,Action,Midway Games,0.09,0.07,0,0.02,0.18,68,26,7,162
Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft,0.14,0.04,0,0,0.18,61,11,7.4,8
Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software,0.07,0.05,0.03,0.02,0.18,62,25,7.2,28
Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,0.1,0.07,0,0.01,0.18,68,26,7,162
Pirates: Hunt For Blackbeards Booty,Wii,2008,Adventure,Activision,0.08,0.08,0,0.02,0.18,68,26,7,162
PlayStation Move Heroes,PS3,2011,Platform,Sony Computer Entertainment,0.09,0.06,0,0.03,0.18,53,39,6.1,16
Cabelas Dangerous Hunts 2009,PS2,2008,Sports,Activision Value,0.09,0.07,0,0.02,0.18,68,26,9.2,5
Ball Breakers,PS,2000,Action,Take-Two Interactive,0.1,0.07,0,0.01,0.18,68,10,5.3,4
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,Namco Bandai Games,0,0,0.18,0,0.18,68,26,7,162
Splatterhouse,X360,2010,Action,Namco Bandai Games,0.14,0.03,0,0.01,0.18,62,51,7.6,60
EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,73,34,8,5
You Dont Know Jack,PS3,2011,Misc,THQ,0.16,0,0,0.01,0.18,82,11,7.3,18
Chuck E. Cheeses Party Games,DS,2010,Misc,UFO Interactive,0.17,0,0,0.01,0.18,68,26,7,162
Twisted Metal: Small Brawl,PS,2001,Action,Sony Computer Entertainment,0.1,0.07,0,0.01,0.18,51,14,7.6,49
Otomedius Excellent,X360,2011,Shooter,Konami Digital Entertainment,0.13,0,0.04,0.01,0.18,48,8,8.1,16
I Spy: Castle,DS,2011,Puzzle,Scholastic Inc.,0.16,0,0,0.01,0.18,68,26,7,162
Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,0.14,0.04,0,0,0.18,39,16,3.2,6
Escape The Museum,DS,2010,Adventure,Astragon,0.04,0.12,0,0.02,0.18,68,26,7,162
Armored Core: Last Raven,PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,59,16,8.9,15
Burnout Legends,DS,2005,Racing,Electronic Arts,0.15,0.02,0,0.01,0.18,38,12,6,59
Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,0.09,0.04,0,0.05,0.18,68,26,5.8,30
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,0.16,0,0,0.01,0.18,81,9,7.1,8
Hello Kitty: Birthday Adventures,DS,2010,Adventure,Namco Bandai Games,0.06,0.1,0,0.02,0.18,68,26,7,162
All Grown Up! Express Yourself,GBA,2004,Misc,THQ,0.13,0.05,0,0,0.18,68,26,7,162
DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0.12,0,0.03,0.18,75,27,6.3,43
K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,0.18,67,24,9,7
Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0,0,0.18,0,0.18,68,26,7,162
Shaun White Skateboarding,Wii,2010,Sports,Ubisoft,0.13,0.03,0,0.01,0.18,59,6,7,162
Super Robot Taisen A Portable,PSP,2008,Strategy,Namco Bandai Games,0,0,0.18,0,0.18,68,26,7,162
Juiced,X,2005,Racing,THQ,0.13,0.04,0,0.01,0.18,68,39,9.1,15
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,505 Games,0.11,0.01,0.05,0.01,0.18,38,14,3,12
Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts,0.13,0.05,0,0,0.18,47,7,7,162
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.09,0.02,0.05,0.02,0.18,79,54,8.5,212
Virtua Tennis,GBA,2002,Sports,Atari,0.13,0.05,0,0,0.18,83,14,7,162
Cabelas Big Game Hunter: Hunting Party,X360,2011,Sports,Activision,0.16,0,0,0.02,0.18,68,26,5,4
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.08,0.04,0.03,0.03,0.18,58,33,6.5,21
Tales of the Tempest,DS,2006,Role-Playing,Namco Bandai Games,0,0,0.18,0,0.18,68,26,7,162
SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts,0,0,0.18,0,0.18,68,26,7,162
Biohazard: Revival Selection,PS3,2011,Action,Capcom,0,0,0.18,0,0.18,68,26,7,162
Sonic Riders: Zero Gravity,PS2,2008,Racing,Sega,0.09,0.07,0,0.02,0.18,56,16,8.4,28
UFC: Sudden Impact,PS2,2004,Fighting,Global Star,0.09,0.07,0,0.02,0.18,54,29,7.7,7
NBA Hoopz,PS2,2001,Sports,Midway Games,0.09,0.07,0,0.02,0.18,63,10,7,162
ESPN X Games Skateboarding,GBA,2001,Sports,Konami Digital Entertainment,0.13,0.05,0,0,0.18,68,26,7,162
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.18,66,15,7,162
Nancy Drew: The Hidden Staircase,DS,2008,Adventure,THQ,0.16,0,0,0.01,0.18,68,26,6,6
Full Auto 2: Battlelines,PS3,2006,Racing,Sega,0.14,0.02,0,0.02,0.18,67,43,7.6,25
Speedball 2100,PS,2000,Sports,Empire Interactive,0.1,0.07,0,0.01,0.18,60,5,7,162
College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,0.16,0,0,0.01,0.18,81,21,6.9,16
How to Train Your Dragon,PS3,2010,Action,Activision,0.12,0.03,0,0.02,0.18,51,18,7,6
LEGO Island 2: The Bricksters Revenge,PS,2001,Adventure,LEGO Media,0.1,0.07,0,0.01,0.18,68,26,7,162
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0,0.03,0.18,68,26,7.1,19
Backyard Basketball,GBA,2004,Sports,Atari,0.13,0.05,0,0,0.18,68,26,7,162
Madden NFL 09,X,2008,Sports,Electronic Arts,0.13,0.04,0,0.01,0.18,68,26,5.5,6
Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,0.11,0.03,0.02,0.01,0.18,65,27,7.8,20
Scooby-Doo! Unmasked,GBA,2005,Platform,THQ,0.13,0.05,0,0,0.18,68,26,7,162
Summon Night 4,PS2,2006,Role-Playing,Banpresto,0,0,0.18,0,0.18,68,26,7,162
Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,68,26,7,162
NHL 2004,X,2003,Sports,Electronic Arts,0.13,0.04,0,0.01,0.18,85,21,6.5,31
MindJack,PS3,2011,Shooter,Square Enix,0.07,0.07,0,0.03,0.18,44,31,1.7,47
Namco Museum: 50th Anniversary,X,2005,Misc,Namco Bandai Games,0.13,0.04,0,0.01,0.18,62,23,7,162
Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft,0.16,0,0,0.01,0.18,68,26,5.2,9
Velvet Assassin,X360,2009,Shooter,DTP Entertainment,0.14,0.02,0.01,0.01,0.18,56,46,6.9,56
WWE SmackDown vs. Raw 2009,DS,2008,Fighting,THQ,0.14,0.02,0,0.01,0.18,58,15,7.8,6
NFL 2K2,X,2002,Sports,Sega,0.13,0.04,0,0.01,0.18,87,18,7,162
Marvel Super Hero Squad: Comic Combat,X360,2011,Action,THQ,0.13,0.04,0,0.01,0.18,68,26,7,162
NBA Starting Five,PS2,2002,Sports,Konami Digital Entertainment,0.09,0.07,0,0.02,0.18,53,10,7.3,7
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0,0.02,0.17,73,26,7,153
The Suffering: Ties That Bind,PS2,2005,Action,Midway Games,0.09,0.07,0,0.02,0.17,75,37,8,23
EyeToy: Kinetic,PS2,2005,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.17,78,32,8.3,11
Skylanders Imaginators,PS3,2016,Platform,Activision,0.04,0.11,0,0.03,0.17,68,26,7,162
Fancy Nancy: Tea Party Time!,DS,2010,Adventure,THQ,0.16,0,0,0.01,0.17,68,26,7,162
Army Men: Sarges Heroes 2,PS2,2001,Shooter,Midas Interactive Entertainment,0.09,0.07,0,0.02,0.17,54,15,4.6,5
The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.03,0.03,0.11,0.01,0.17,90,4,7.9,75
Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,0.1,0,0.04,0.04,0.17,62,24,7.6,118
The Wild Thornberrys: Animal Adventures,PS,2000,Adventure,Mattel Interactive,0.1,0.07,0,0.01,0.17,68,26,7,162
Cabelas Adventure Camp,Wii,2011,Misc,Activision,0.14,0.02,0,0.02,0.17,68,26,7,162
SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,0.09,0.07,0,0.02,0.17,68,13,7,162
Teen Titans,GBA,2006,Action,THQ,0.13,0.05,0,0,0.17,61,9,7,162
Sports Illustrated for Kids: Baseball,GBA,2001,Sports,BAM! Entertainment,0.12,0.05,0,0,0.17,39,4,7,162
Mark Davis Pro Bass Challenge,PS2,2002,Sports,Natsume,0.09,0.07,0,0.02,0.17,68,26,7,162
Ridge Racer,PSV,2011,Racing,Namco Bandai Games,0.03,0.07,0.05,0.02,0.17,44,39,3.7,59
Farming Simulator 17,XOne,2016,Simulation,Focus Home Interactive,0.07,0.09,0,0.01,0.17,65,9,7,162
Rugrats: Royal Ransom,GC,2002,Platform,THQ,0.13,0.03,0,0,0.17,68,26,6.7,6
Winning Eleven: Pro Evolution Soccer 2007,DS,2006,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,63,5,7.9,12
Warriors of Might and Magic,PS2,2001,Adventure,3DO,0.09,0.07,0,0.02,0.17,49,12,4.5,6
Petz: Horseshoe Ranch,DS,2009,Adventure,Ubisoft,0.16,0,0,0.01,0.17,68,26,7,162
Rapala Fishing Frenzy 2009,PS3,2008,Sports,Activision,0.16,0,0,0.01,0.17,31,4,4.4,9
EyePet & Friends,PS3,2011,Simulation,Sony Computer Entertainment,0.06,0.08,0,0.03,0.17,68,26,7,162
Open Season,GC,2006,Platform,Ubisoft,0.13,0.03,0,0,0.17,59,6,7,162
Street Fighter: The Movie,PS,1995,Fighting,Acclaim Entertainment,0.1,0.07,0,0.01,0.17,68,26,7,162
Major League Baseball 2K9,PS3,2009,Sports,Spike,0.16,0,0,0.01,0.17,61,19,4,6
World Championship Poker,GBA,2004,Misc,Crave Entertainment,0.12,0.05,0,0,0.17,66,5,7,162
Global Defence Force,PS2,2005,Shooter,Essential Games,0,0,0.17,0,0.17,68,26,7,162
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.14,0.02,0,0.02,0.17,47,23,6.1,10
Major League Baseball 2K6,GC,2006,Sports,Take-Two Interactive,0.13,0.03,0,0,0.17,66,8,7,162
WordJong Party,Wii,2008,Puzzle,Destineer,0.16,0,0,0.01,0.17,68,26,7,162
SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009,Role-Playing,Square Enix,0,0,0.17,0,0.17,68,26,7,162
Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,0.08,0.07,0,0.02,0.17,73,15,7.4,10
Race Pro,X360,2009,Racing,Atari,0.06,0.09,0,0.02,0.17,72,54,7,60
Super Robot Taisen L,DS,2010,Strategy,Namco Bandai Games,0,0,0.17,0,0.17,68,26,7,162
Anarchy Reigns,X360,2012,Action,Sega,0.12,0.02,0.02,0.01,0.17,73,38,7.9,105
The Grim Adventures of Billy & Mandy,GC,2006,Action,Midway Games,0.13,0.03,0,0,0.17,68,26,7,162
NBA Inside Drive 2004,X,2003,Sports,Microsoft Game Studios,0.13,0.04,0,0.01,0.17,71,31,8.2,11
The King of Fighters 97,PS,1998,Fighting,SNK,0,0,0.16,0.01,0.17,68,26,7,162
